Case,fc_(Mpa),fy_(Mpa),q_(kN/m),P_(kN),Fire curve,t_delay_(min)
1801,25.794125,489.80385,58.275971,545.68288,1,0
1802,30.091162,499.63638,52.310263,495.61902,2,0
1803,28.722315,479.58833,69.677228,488.66372,3,0
1804,28.3904284,513.136552,77.855851,495.58921,4,0
1805,32.784779,503.93229,71.995449,527.40391,5,0
1806,39.947655,471.1748,53.337737,462.71238,6,0
1807,31.200137,456.65031,56.085002,467.97389,7,0
1808,29.222699,485.39261,49.666133,528.39052,8,0
1809,26.882866,494.632333,71.15452,525.23552,9,0
1810,29.1864102,483.705289,73.586225,415.23692,10,0
1811,32.26669,474.27424,70.20708,522.29908,11,0
1812,27.144226,459.54326,72.747883,545.42679,12,0
1813,35.152085,475.62704,51.453821,424.45593,13,0
1814,30.429976,491.38851,74.532411,478.87167,14,0
1815,32.977033,512.06373,60.890584,542.09453,15,0
1816,31.281434,572.87169,72.302515,430.25046,16,0
1817,29.1972176,505.0971998,72.13235,480.215898,17,0
1818,30.892908,492.37001,63.368745,517.49124,18,0
1819,31.393005,540.91752,64.447898,539.72168,19,0
1820,36.074997,552.42975,66.141964,505.37408,20,0
1821,31.687447,444.72797,58.803831,411.95126,21,0
1822,25.220967,477.65433,73.913335,408.83968,22,0
1823,33.121993,500.91656,46.97033,477.51649,23,0
1824,28.912579,494.31945,47.794953,434.04448,24,0
1825,30.161613,453.40473,64.475886,404.39015,25,0
1826,29.821228,561.82877,57.482676,516.12533,26,0
1827,31.183421,539.3648,46.136327,437.44285,27,0
1828,26.527319,467.43332,66.873958,523.30361,28,0
1829,28.377059,470.31489,76.146496,497.71581,29,0
1830,29.9269,448.82103,48.531087,535.13156,30,0
1831,26.361987,624.45467,63.12545,450.235669,31,0
1832,33.49542,543.24403,58.956003,492.11886,32,0
1833,34.681141,502.22395,68.178126,402.6791,33,0
1834,32.394358,465.55323,65.675137,502.59045,34,0
1835,29.437293,486.9583,77.220234,445.62371,35,0
1836,26.333236,512.99913,63.126096,490.79615,36,0
