Case,fc_(Mpa),fy_(Mpa),q_(kN/m),P_(kN),Fire curve,t_delay_(min)
301,25.794125,489.80385,58.275971,545.68288,1,0
302,30.091162,499.63638,52.310263,495.61902,2,0
303,28.722315,479.58833,69.677228,488.66372,3,0
304,28.3904284,513.136552,77.855851,495.58921,4,0
305,32.784779,503.93229,71.995449,527.40391,5,0
306,39.947655,471.1748,53.337737,462.71238,6,0
307,31.200137,456.65031,56.085002,467.97389,7,0
308,29.222699,485.39261,49.666133,528.39052,8,0
309,26.882866,494.632333,71.15452,525.23552,9,0
310,29.1864102,483.705289,73.586225,415.23692,10,0
311,32.26669,474.27424,70.20708,522.29908,11,0
312,27.144226,459.54326,72.747883,545.42679,12,0
313,35.152085,475.62704,51.453821,424.45593,13,0
314,30.429976,491.38851,74.532411,478.87167,14,0
315,32.977033,512.06373,60.890584,542.09453,15,0
316,31.281434,572.87169,72.302515,430.25046,16,0
317,29.1972176,505.0971998,72.13235,480.215898,17,0
318,30.892908,492.37001,63.368745,517.49124,18,0
319,31.393005,540.91752,64.447898,539.72168,19,0
320,36.074997,552.42975,66.141964,505.37408,20,0
321,31.687447,444.72797,58.803831,411.95126,21,0
322,25.220967,477.65433,73.913335,408.83968,22,0
323,33.121993,500.91656,46.97033,477.51649,23,0
324,28.912579,494.31945,47.794953,434.04448,24,0
325,30.161613,453.40473,64.475886,404.39015,25,0
326,29.821228,561.82877,57.482676,516.12533,26,0
327,31.183421,539.3648,46.136327,437.44285,27,0
328,26.527319,467.43332,66.873958,523.30361,28,0
329,28.377059,470.31489,76.146496,497.71581,29,0
330,29.9269,448.82103,48.531087,535.13156,30,0
331,26.361987,624.45467,63.12545,450.235669,31,0
332,33.49542,543.24403,58.956003,492.11886,32,0
333,34.681141,502.22395,68.178126,402.6791,33,0
334,32.394358,465.55323,65.675137,502.59045,34,0
335,29.437293,486.9583,77.220234,445.62371,35,0
336,26.333236,512.99913,63.126096,490.79615,36,0
337,29.052083,527.96385,46.593118,513.27133,37,0
338,29.610888,528.90037,77.34406,532.78395,38,0
339,28.838898,548.72237,62.389107,443.28492,39,0
340,30.009984,516.25554,60.819148,549.16347,40,0
341,34.264865,585.85085,60.021223,543.21905,41,0
342,27.987731,422.8325,62.726084,460.05612,42,0
343,28.965843,533.80081,52.958942,451.12409,43,0
344,26.775813,462.46647,53.728289,449.53421,44,0
345,29.349583,481.56672,68.446254,438.95376,45,0
346,31.00551,488.07932,54.060406,508.07794,46,0
347,27.653079,478.67353,67.12828,459.65297,47,0
348,25.72191,545.5234,67.664636,504.7767,48,0
349,23.74932,526.17303,61.873501,414.50472,49,0
350,30.743045,536.68553,54.298335,409.06571,50,0
351,29.711276,458.12591,57.57583,510.85398,51,0
352,33.366824,551.62689,52.689499,432.19282,52,0
353,29.545438,606.37357,63.488204,423.6475,53,0
354,28.7631,502.54704,76.607499,500.76196,54,0
355,24.960844,476.38811,65.329025,534.39939,55,0
356,32.923187,489.34664,59.814253,520.80315,56,0
357,27.377596,507.12821,50.680813,467.12291,57,0
358,32.686329,544.90774,69.926902,475.21585,58,0
359,31.598054,560.42313,50.136528,494.30124,59,0
360,28.41389,438.21563,49.02597,406.9475,60,0
361,30.326031,521.43941,73.692189,444.44096,61,0
362,31.822253,451.57336,64.876771,427.42208,62,0
363,34.108381,461.17873,45.581176,456.84424,63,0
364,29.909201,523.53548,47.555772,420.67109,64,0
365,26.856105,535.64925,52.168379,499.23042,65,0
366,27.546051,425.8927,59.244321,530.75694,66,0
367,26.003154,555.90826,72.433594,439.40836,67,0
368,30.804973,518.06466,66.55241,472.2689,68,0
