Case,fc_(Mpa),fy_(Mpa),q_(kN/m),P_(kN),Fire curve,t_delay_(min)
601,25.794125,489.80385,58.275971,545.68288,1,0
602,30.091162,499.63638,52.310263,495.61902,2,0
603,28.722315,479.58833,69.677228,488.66372,3,0
604,28.3904284,513.136552,77.855851,495.58921,4,0
605,32.784779,503.93229,71.995449,527.40391,5,0
606,39.947655,471.1748,53.337737,462.71238,6,0
607,31.200137,456.65031,56.085002,467.97389,7,0
608,29.222699,485.39261,49.666133,528.39052,8,0
609,26.882866,494.632333,71.15452,525.23552,9,0
610,29.1864102,483.705289,73.586225,415.23692,10,0
611,32.26669,474.27424,70.20708,522.29908,11,0
612,27.144226,459.54326,72.747883,545.42679,12,0
613,35.152085,475.62704,51.453821,424.45593,13,0
614,30.429976,491.38851,74.532411,478.87167,14,0
615,32.977033,512.06373,60.890584,542.09453,15,0
616,31.281434,572.87169,72.302515,430.25046,16,0
617,29.1972176,505.0971998,72.13235,480.215898,17,0
618,30.892908,492.37001,63.368745,517.49124,18,0
619,31.393005,540.91752,64.447898,539.72168,19,0
620,36.074997,552.42975,66.141964,505.37408,20,0
621,31.687447,444.72797,58.803831,411.95126,21,0
622,25.220967,477.65433,73.913335,408.83968,22,0
623,33.121993,500.91656,46.97033,477.51649,23,0
624,28.912579,494.31945,47.794953,434.04448,24,0
625,30.161613,453.40473,64.475886,404.39015,25,0
626,29.821228,561.82877,57.482676,516.12533,26,0
627,31.183421,539.3648,46.136327,437.44285,27,0
628,26.527319,467.43332,66.873958,523.30361,28,0
629,28.377059,470.31489,76.146496,497.71581,29,0
630,29.9269,448.82103,48.531087,535.13156,30,0
631,26.361987,624.45467,63.12545,450.235669,31,0
632,33.49542,543.24403,58.956003,492.11886,32,0
633,34.681141,502.22395,68.178126,402.6791,33,0
634,32.394358,465.55323,65.675137,502.59045,34,0
635,29.437293,486.9583,77.220234,445.62371,35,0
636,26.333236,512.99913,63.126096,490.79615,36,0
637,29.052083,527.96385,46.593118,513.27133,37,0
638,29.610888,528.90037,77.34406,532.78395,38,0
639,28.838898,548.72237,62.389107,443.28492,39,0
640,30.009984,516.25554,60.819148,549.16347,40,0
641,34.264865,585.85085,60.021223,543.21905,41,0
642,27.987731,422.8325,62.726084,460.05612,42,0
643,28.965843,533.80081,52.958942,451.12409,43,0
644,26.775813,462.46647,53.728289,449.53421,44,0
645,29.349583,481.56672,68.446254,438.95376,45,0
646,31.00551,488.07932,54.060406,508.07794,46,0
647,27.653079,478.67353,67.12828,459.65297,47,0
648,25.72191,545.5234,67.664636,504.7767,48,0
649,23.74932,526.17303,61.873501,414.50472,49,0
650,30.743045,536.68553,54.298335,409.06571,50,0
651,29.711276,458.12591,57.57583,510.85398,51,0
652,33.366824,551.62689,52.689499,432.19282,52,0
653,29.545438,606.37357,63.488204,423.6475,53,0
654,28.7631,502.54704,76.607499,500.76196,54,0
655,24.960844,476.38811,65.329025,534.39939,55,0
656,32.923187,489.34664,59.814253,520.80315,56,0
657,27.377596,507.12821,50.680813,467.12291,57,0
658,32.686329,544.90774,69.926902,475.21585,58,0
659,31.598054,560.42313,50.136528,494.30124,59,0
660,28.41389,438.21563,49.02597,406.9475,60,0
661,30.326031,521.43941,73.692189,444.44096,61,0
662,31.822253,451.57336,64.876771,427.42208,62,0
663,34.108381,461.17873,45.581176,456.84424,63,0
664,29.909201,523.53548,47.555772,420.67109,64,0
665,26.856105,535.64925,52.168379,499.23042,65,0
666,27.546051,425.8927,59.244321,530.75694,66,0
667,26.003154,555.90826,72.433594,439.40836,67,0
668,30.804973,518.06466,66.55241,472.2689,68,0
669,23.446638,519.13784,45.782363,538.4058,69,0
670,32.119268,463.59673,56.478303,435.44542,70,0
671,32.007475,482.76133,75.611636,496.89165,71,0
672,31.458104,480.76068,50.95924,470.86146,72,0
673,30.680936,446.37003,69.36838,426.11279,73,0
674,28.615119,519.94392,49.522705,449.38768,74,0
675,25.510061,404.2788,61.234823,440.80355,75,0
676,29.27962,440.77015,51.868627,404.84086,76,0
677,24.7334573,591.9251668,70.24568,500.57124,77,0
678,27.770632,522.28464,54.927867,463.77259,78,0
679,33.6546252,507.5783199,60.256613,405.358221,79,0
680,30.533776,454.01261,77.821321,421.1718,80,0
681,34.420588,433.62254,47.134018,481.59637,81,0
682,27.511751,484.61588,55.616296,401.04605,82,0
683,28.089163,510.5765,68.058752,525.42157,83,0
684,35.708518,469.22586,48.757868,429.67585,84,0
685,26.995088,508.36977,55.338854,416.93249,85,0
686,28.498654,595.20212,65.868099,519.92329,86,0
687,33.659458,497.24245,74.738644,547.68148,87,0
688,27.2315906,461.7341489,74.256545,465.455524,88,0
689,29.683321,498.28248,73.314292,412.28421,89,0
690,28.310096,511.17537,60.303307,446.71679,90,0
691,30.250597,499.37843,70.86091,454.78101,91,0
692,26.638384,505.5875,48.04488,473.96549,92,0
693,32.573089,515.28694,56.859483,511.96372,93,0
694,29.114274,466.54215,63.856312,480.60848,94,0
695,26.134961,525.73373,75.742012,488.20654,95,0
696,31.926595,473.09256,75.285526,464.56737,96,0
697,31.033039,493.42261,69.035041,529.38008,97,0
698,37.154224,483.81244,45.283337,415.46855,98,0
699,27.101606,495.08367,70.5677,537.50685,99,0
700,30.573117,566.01807,76.916861,458.00836,100,0
701,25.794125,489.80385,58.275971,545.68288,1,30
702,30.091162,499.63638,52.310263,495.61902,2,30
703,28.722315,479.58833,69.677228,488.66372,3,30
704,28.3904284,513.136552,77.855851,495.58921,4,30
705,32.784779,503.93229,71.995449,527.40391,5,30
706,39.947655,471.1748,53.337737,462.71238,6,30
707,31.200137,456.65031,56.085002,467.97389,7,30
708,29.222699,485.39261,49.666133,528.39052,8,30
709,26.882866,494.632333,71.15452,525.23552,9,30
710,29.1864102,483.705289,73.586225,415.23692,10,30
711,32.26669,474.27424,70.20708,522.29908,11,30
712,27.144226,459.54326,72.747883,545.42679,12,30
713,35.152085,475.62704,51.453821,424.45593,13,30
714,30.429976,491.38851,74.532411,478.87167,14,30
715,32.977033,512.06373,60.890584,542.09453,15,30
716,31.281434,572.87169,72.302515,430.25046,16,30
717,29.1972176,505.0971998,72.13235,480.215898,17,30
718,30.892908,492.37001,63.368745,517.49124,18,30
719,31.393005,540.91752,64.447898,539.72168,19,30
720,36.074997,552.42975,66.141964,505.37408,20,30
721,31.687447,444.72797,58.803831,411.95126,21,30
722,25.220967,477.65433,73.913335,408.83968,22,30
723,33.121993,500.91656,46.97033,477.51649,23,30
724,28.912579,494.31945,47.794953,434.04448,24,30
725,30.161613,453.40473,64.475886,404.39015,25,30
726,29.821228,561.82877,57.482676,516.12533,26,30
727,31.183421,539.3648,46.136327,437.44285,27,30
728,26.527319,467.43332,66.873958,523.30361,28,30
729,28.377059,470.31489,76.146496,497.71581,29,30
730,29.9269,448.82103,48.531087,535.13156,30,30
731,26.361987,624.45467,63.12545,450.235669,31,30
732,33.49542,543.24403,58.956003,492.11886,32,30
733,34.681141,502.22395,68.178126,402.6791,33,30
734,32.394358,465.55323,65.675137,502.59045,34,30
735,29.437293,486.9583,77.220234,445.62371,35,30
736,26.333236,512.99913,63.126096,490.79615,36,30
737,29.052083,527.96385,46.593118,513.27133,37,30
738,29.610888,528.90037,77.34406,532.78395,38,30
739,28.838898,548.72237,62.389107,443.28492,39,30
740,30.009984,516.25554,60.819148,549.16347,40,30
741,34.264865,585.85085,60.021223,543.21905,41,30
742,27.987731,422.8325,62.726084,460.05612,42,30
743,28.965843,533.80081,52.958942,451.12409,43,30
744,26.775813,462.46647,53.728289,449.53421,44,30
745,29.349583,481.56672,68.446254,438.95376,45,30
746,31.00551,488.07932,54.060406,508.07794,46,30
747,27.653079,478.67353,67.12828,459.65297,47,30
748,25.72191,545.5234,67.664636,504.7767,48,30
749,23.74932,526.17303,61.873501,414.50472,49,30
750,30.743045,536.68553,54.298335,409.06571,50,30
751,29.711276,458.12591,57.57583,510.85398,51,30
752,33.366824,551.62689,52.689499,432.19282,52,30
753,29.545438,606.37357,63.488204,423.6475,53,30
754,28.7631,502.54704,76.607499,500.76196,54,30
755,24.960844,476.38811,65.329025,534.39939,55,30
756,32.923187,489.34664,59.814253,520.80315,56,30
757,27.377596,507.12821,50.680813,467.12291,57,30
758,32.686329,544.90774,69.926902,475.21585,58,30
759,31.598054,560.42313,50.136528,494.30124,59,30
760,28.41389,438.21563,49.02597,406.9475,60,30
761,30.326031,521.43941,73.692189,444.44096,61,30
762,31.822253,451.57336,64.876771,427.42208,62,30
763,34.108381,461.17873,45.581176,456.84424,63,30
764,29.909201,523.53548,47.555772,420.67109,64,30
765,26.856105,535.64925,52.168379,499.23042,65,30
766,27.546051,425.8927,59.244321,530.75694,66,30
767,26.003154,555.90826,72.433594,439.40836,67,30
768,30.804973,518.06466,66.55241,472.2689,68,30
769,23.446638,519.13784,45.782363,538.4058,69,30
770,32.119268,463.59673,56.478303,435.44542,70,30
771,32.007475,482.76133,75.611636,496.89165,71,30
772,31.458104,480.76068,50.95924,470.86146,72,30
773,30.680936,446.37003,69.36838,426.11279,73,30
774,28.615119,519.94392,49.522705,449.38768,74,30
775,25.510061,404.2788,61.234823,440.80355,75,30
776,29.27962,440.77015,51.868627,404.84086,76,30
777,24.7334573,591.9251668,70.24568,500.57124,77,30
778,27.770632,522.28464,54.927867,463.77259,78,30
779,33.6546252,507.5783199,60.256613,405.358221,79,30
780,30.533776,454.01261,77.821321,421.1718,80,30
781,34.420588,433.62254,47.134018,481.59637,81,30
782,27.511751,484.61588,55.616296,401.04605,82,30
783,28.089163,510.5765,68.058752,525.42157,83,30
784,35.708518,469.22586,48.757868,429.67585,84,30
785,26.995088,508.36977,55.338854,416.93249,85,30
786,28.498654,595.20212,65.868099,519.92329,86,30
787,33.659458,497.24245,74.738644,547.68148,87,30
788,27.2315906,461.7341489,74.256545,465.455524,88,30
789,29.683321,498.28248,73.314292,412.28421,89,30
790,28.310096,511.17537,60.303307,446.71679,90,30
791,30.250597,499.37843,70.86091,454.78101,91,30
792,26.638384,505.5875,48.04488,473.96549,92,30
793,32.573089,515.28694,56.859483,511.96372,93,30
794,29.114274,466.54215,63.856312,480.60848,94,30
795,26.134961,525.73373,75.742012,488.20654,95,30
796,31.926595,473.09256,75.285526,464.56737,96,30
797,31.033039,493.42261,69.035041,529.38008,97,30
798,37.154224,483.81244,45.283337,415.46855,98,30
799,27.101606,495.08367,70.5677,537.50685,99,30
800,30.573117,566.01807,76.916861,458.00836,100,30
801,25.794125,489.80385,58.275971,545.68288,1,60
802,30.091162,499.63638,52.310263,495.61902,2,60
803,28.722315,479.58833,69.677228,488.66372,3,60
804,28.3904284,513.136552,77.855851,495.58921,4,60
805,32.784779,503.93229,71.995449,527.40391,5,60
806,39.947655,471.1748,53.337737,462.71238,6,60
807,31.200137,456.65031,56.085002,467.97389,7,60
808,29.222699,485.39261,49.666133,528.39052,8,60
809,26.882866,494.632333,71.15452,525.23552,9,60
810,29.1864102,483.705289,73.586225,415.23692,10,60
811,32.26669,474.27424,70.20708,522.29908,11,60
812,27.144226,459.54326,72.747883,545.42679,12,60
813,35.152085,475.62704,51.453821,424.45593,13,60
814,30.429976,491.38851,74.532411,478.87167,14,60
815,32.977033,512.06373,60.890584,542.09453,15,60
816,31.281434,572.87169,72.302515,430.25046,16,60
817,29.1972176,505.0971998,72.13235,480.215898,17,60
818,30.892908,492.37001,63.368745,517.49124,18,60
819,31.393005,540.91752,64.447898,539.72168,19,60
820,36.074997,552.42975,66.141964,505.37408,20,60
821,31.687447,444.72797,58.803831,411.95126,21,60
822,25.220967,477.65433,73.913335,408.83968,22,60
823,33.121993,500.91656,46.97033,477.51649,23,60
824,28.912579,494.31945,47.794953,434.04448,24,60
825,30.161613,453.40473,64.475886,404.39015,25,60
826,29.821228,561.82877,57.482676,516.12533,26,60
827,31.183421,539.3648,46.136327,437.44285,27,60
828,26.527319,467.43332,66.873958,523.30361,28,60
829,28.377059,470.31489,76.146496,497.71581,29,60
830,29.9269,448.82103,48.531087,535.13156,30,60
831,26.361987,624.45467,63.12545,450.235669,31,60
832,33.49542,543.24403,58.956003,492.11886,32,60
833,34.681141,502.22395,68.178126,402.6791,33,60
834,32.394358,465.55323,65.675137,502.59045,34,60
835,29.437293,486.9583,77.220234,445.62371,35,60
836,26.333236,512.99913,63.126096,490.79615,36,60
837,29.052083,527.96385,46.593118,513.27133,37,60
838,29.610888,528.90037,77.34406,532.78395,38,60
839,28.838898,548.72237,62.389107,443.28492,39,60
840,30.009984,516.25554,60.819148,549.16347,40,60
841,34.264865,585.85085,60.021223,543.21905,41,60
